Timestamp,Participant_ID,Mode,Round_Num,RT_Adj,RT_Diag,RT_Med,RT_Long,ITI_Adj,ITI_Diag,ITI_Med,ITI_Long,X_Mean,X_Std,X_Med,Y_Mean,Y_Std,Y_Med,Errors
2026-06-16 17:31:12,P001,ENROLL,1,374.0,907.0,541.0,494.25,1450.0,1759.0,1529.75,1405.5,-9.333,16.78,-9.0,-2.75,15.006,-6.5,4.0
2026-06-16 17:31:36,P001,ENROLL,2,392.0,344.5,459.25,529.75,1807.0,1588.5,1515.5,1532.5,3.833,16.431,7.0,3.083,17.647,7.5,1.0
2026-06-16 17:32:00,P001,ENROLL,3,385.5,0.0,547.667,430.0,1347.0,0.0,1582.0,1544.0,-1.167,20.659,-0.5,-6.833,14.938,-4.0,2.0
2026-06-16 17:32:22,P001,VERIFY,1,362.0,450.0,466.167,473.5,1624.0,1395.0,1400.167,1156.0,0.833,16.617,-1.0,0.167,10.815,2.5,2.0
2026-06-16 17:36:37,P001,ENROLL,1,400.0,843.0,457.0,492.6,1086.0,1569.0,1517.667,1741.2,0.25,16.12,-1.5,-3.0,13.266,-7.0,3.0
2026-06-16 17:37:01,P001,ENROLL,2,417.667,0.0,439.0,565.143,1664.0,0.0,1555.0,1461.286,0.25,17.321,-6.5,0.583,8.47,2.0,1.0
2026-06-16 17:37:25,P001,ENROLL,3,507.75,357.0,415.0,553.75,1738.0,1461.0,1694.0,1335.75,0.333,17.09,-4.5,-0.167,11.415,1.5,1.0
2026-06-16 17:37:57,P001,VERIFY,1,545.0,436.0,498.6,707.0,1512.5,1480.0,1699.2,1780.5,-2.0,16.503,0.0,6.083,10.234,5.0,3.0
2026-06-16 17:46:55,P001,ENROLL,1,450.667,522.0,573.0,498.4,1527.667,1488.0,1582.0,1401.8,-1.417,17.187,-5.5,4.25,14.03,1.0,1.0
2026-06-16 17:47:19,P001,ENROLL,2,388.5,342.0,547.0,553.25,1589.0,1640.0,1324.0,1512.0,-6.25,10.74,-4.0,0.25,18.426,-4.5,0.0
2026-06-16 17:47:44,P001,ENROLL,3,702.0,483.0,549.4,582.0,1286.0,1758.0,1576.6,1582.0,0.417,15.835,0.0,-3.333,15.046,0.5,3.0
2026-06-16 17:48:08,P001,VERIFY,1,513.667,378.0,556.5,532.8,1457.333,1676.0,1186.0,1540.0,-6.917,16.419,-8.5,3.833,14.904,5.0,2.0
2026-06-16 17:48:43,P001,VERIFY,1,418.4,0.0,507.75,543.5,1285.6,0.0,1372.0,1520.0,-1.583,11.449,-4.0,-4.75,13.755,-4.5,0.0
2026-06-17 15:36:14,P001,VERIFY,1,462.5,392.0,384.0,560.333,1447.25,1558.0,1362.0,1553.333,-5.833,16.046,-5.5,0.833,10.065,1.5,1.0
2026-06-17 15:36:51,P001,VERIFY,1,397.0,0.0,473.5,431.5,1393.667,0.0,1587.833,1210.5,3.917,16.266,-1.0,0.75,16.922,2.0,2.0
